deutsch, russian, correct, incorrect
präsentieren, представлять, 0, 2
der Freund, друг, 1, 1
die Chefinnen, руководительница, 1, 1
telefonieren, звонить, 1, 1
sehr, очень, 1, 1
das Kino, кинотеатр, 0, 2
der Geburtstag, день рождения, 1, 1
in, в, 1, 1
der Sommer, лето, 1, 1
in der Nacht, ночью, 1, 1
Urlaub machen, отправиться в отпуск, 0, 2
Woher?, Откуда?, 2, 1
die Karte, билет, 1, 1
toll, большой, 0, 2
mittags, в полдень, 1, 1
die SMS, смс, 0, 3
das Auto, автомобиль, 1, 1
die Nummer, номер, 0, 2
der Tag, день, 1, 1
hast du Last?, не хочешь ли ты?, 0, 2
die Deutsche, немка, 1, 1
Australien, Австралия, 1, 1
der Mittwoch, среда, 1, 1
die Mutter, мама, 1, 1
noch, пока что, 0, 2
Wo?, Куда?, 0, 2
Europa, Европа, 1, 1
das Formular, формуляр, 1, 1
schlecht, плохой, 1, 1
der Japaner, японский, 0, 2
sammeln, собирать, 0, 2
auch, также, 1, 1
haben, иметь, 1, 1
die Türkin, турчанка, 1, 1
korrigieren, поправлять, 1, 1
der Vater, папа, 0, 2
der Freitag, пятница, 1, 1
passen, подходить, 1, 1
Frankreich, Франция, 0, 2
England, Англия, 1, 1
der Termin, встреча, 1, 1
der Herbst, осень, 1, 1
der Oktober, октябрь, 1, 1
die Klassik, классический, 0, 2
noch, еще, 0, 2
das Telefon, телефон, 1, 1
die Nationalität, национальность, 0, 2
die Email, электронная почта, 0, 2
einmal, один раз, 1, 1
das Restaurant, ресторан, 1, 1
klein, маленький, 1, 1
die Gruppe, группа, 1, 1
der Herr, мужчина, 0, 2
der Student, студент, 1, 1
Vorname, имя, 0, 2
Wie?, Как?, 1, 1
die Freundin, подруга, 1, 1
die Rockmusik, рок-музыка, 0, 2
die Popmusik, поп-музыка, 1, 1
der Flug, полет, 0, 2
die Partnerin, партнерша, 1, 1
sicher, надежный, 0, 2
zählen, подсчет, 0, 2
privat, частный, 0, 2
am Vormittag, поздним утром, 0, 2
beginnen, начинать, 1, 1
